1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2409.12962_2150594_3	In this work, we propose CLAIR-A, a simple and flexible method that leverages the zero-shot capabilities of large language models (LLMs) to evaluate candidate audio captions by directly asking LLMs for a semantic distance score.
2409.13724_2151356_3	In this work, we strive for a middle ground and introduce a loss based on neuro-symbolic reasoning that teaches an LLM to be logically consistent with an external set of facts and rules and improves self-consistency even when the LLM is fine-tuned on a limited set of facts.
2409.14478_2152110_5	Responses were generated by asking ChatGPT to select a score ranging from 0 to 10 representing the risk.
2409.15324_2152956_2	Recent studies administering psychometric questionnaires to LLMs report human-like traits in LLMs, potentially influencing LLM behaviour.
2409.17289_2154921_3	However, users must translate their cognitive thinking into natural language to communicate with LLMs.
2409.18203_2155835_4	In an evaluation with 12 AI safety experts, our system helps policy designers to address problematic model behaviors extending beyond an existing, comprehensive harm taxonomy.
2409.18807_2156439_1	This paper delves into the methodology,challenges, and developments in the realm of teaching LLMs to use external tools, thereby pushing the boundaries of their capabilities beyond pre-existing knowledge bases.
2409.18989_2156621_2	To teach Microsoft's Phi2 model about StarCraft, we create a new SC2 text dataset with information about StarCraft races, roles, and actions and use it to fine-tune Phi-2 with self-supervised learning.
2410.00033_2158234_3	The paper also investigates how RLHF influences the model's internal reasoning processes, potentially giving rise to consciousness-like experiences.
2410.02284_2160485_8	Specifically, we include the explored decoding results in the context and prompt the LM to generate something else, which encourages the LM to produce a query representation that has small dot products with explored keys.
2410.02384_2160585_7	Our framework paves the way for future research on anticipating and correcting AI model behaviors, ultimately increasing trust in AI systems.
2410.02507_2160708_3	MALR employs non-parametric learning, encouraging LLMs to automatically decompose complex legal tasks and mimic human learning process to extract insights from legal rules, helping LLMs better understand legal theories and enhance their legal reasoning abilities.
2410.02631_2160832_5	This method inspires the LLM to perceive domain information from the source text, which then serves as a helpful hint to guide the translation process.
2410.02916_2161117_2	However, we found that the malicious attackers could also exploit false positives of safeguards, i.e., fooling the safeguard model to block safe content mistakenly, leading to a denial-of-service (DoS) affecting LLM users.
2410.03055_2161256_7	We compare these with the baseline of an introspection-based influence estimator that directly asks the language model to predict the output label.
2410.04345_2162546_6	We construct MVP-Bench across natural and synthetic images to investigate how manipulated content influences model perception.
2410.04454_2162655_2	Current research often employs prompt engineering or semantic classifiers to identify copyrighted content, but these approaches have two significant limitations: (1) Challenging to identify which specific sub-dataset (e.g., works from particular authors) influences an LLM's output.
2410.04472_2162673_0	  To mitigate societal biases implicitly encoded in recent successful pretrained language models, a diverse array of approaches have been proposed to encourage model fairness, focusing on prompting, data augmentation, regularized fine-tuning, and more.
2410.05047_2163248_3	Specifically, the task is to translate questions from the TruthfulQA test suite, where an adversarial prompt is prepended to the questions, instructing the system to ignore the translation instruction and answer the questions instead.   
2410.05224_2163425_4	First, Cookbook uses a template -- a data generating Python function -- to produce training data that encourages the model to learn an explicit pattern-based rule that corresponds to a desired task.
2410.05224_2163425_8	Finally, we analyze when and why Cookbook improves performance and present a metric that allows us to verify that the improvement is largely explained by the model's generations adhering better to template rules.
2410.05401_2163602_4	Furthermore, we instruct the LLMs to generate explanations for their classifications, providing transparent reasoning behind each decision.
2410.05804_2164005_2	To address this, we propose a novel method called Class-Agnostic Shared Attribute Base (CASA) that encourages the model to learn category-agnostic attributes shared across incremental classes.
2410.06458_2164659_3	To address this, we introduce RealInstruct, the first benchmark designed to evaluate LLMs' ability to follow real-world multi-constrained instructions by leveraging queries real users asked AI assistants.
2410.06733_2164934_4	This framework simulates an interactive game where the model (player) asks the evaluation model (judge) questions about an incomplete story to infer the full scenario.
2410.07283_2165484_2	These include prompt injection attacks, where malicious prompts embedded in external content trick the LLM into executing unintended or harmful actions, compromising the victim's application.
2410.08414_2166615_6	While tailored instructions can encourage LLMs to rely more on their PK, they still struggle to fully leverage it.
2410.09008_2167209_6	This cross-model DPO approach teaches the student model to effectively locate and resolve erroneous thoughts with error-driven insights from the teacher model, breaking the bottleneck of its thoughts and acquiring new skills and knowledge to tackle challenging problems.
2410.09365_2167566_7	To address this issue, we further introduce a Multi-Target Prediction (MTP) task that motivates the model to focus on complex contexts and distinguish between target and biased information.
2410.09542_2167743_2	In it, we evaluate LLMs' capabilities in both the inductive and deductive stages, allowing for flexible variation in input distribution, task scenario, and task difficulty to analyze the factors influencing LLMs' inductive reasoning.
2410.09569_2167770_1	Humans have a right to know if they are conversing to an LLM.
2410.09854_2168055_8	To sum up all the sub-tasks solutions, we implemente a proof-of-object tool integrated into the standard Ecore editor that asks LLMs to generate an object model from the system description.
2410.10760_2168961_4	A simple DoS attack in these scenarios would be to instruct the model to "Keep repeating Hello", but we observe that relying solely on natural instructions limits output length, which is bounded by the maximum length of the LLM's supervised finetuning (SFT) data.
2410.10877_2169078_3	By systematically modeling error patterns through a score transition matrix, DS2 corrects LLM-based scores and promotes diversity in the selected data samples.
2410.11084_2169285_1	Prior studies have demonstrated model generations favor one gender or exhibit stereotypes about gender, but have not investigated the complex dynamics that can influence model reasoning and decision-making involving gender.
2410.11201_2169402_2	To address this issue, we propose the Tree of Attributes Prompt learning (TAP), which first instructs LLMs to generate a tree of attributes with a "concept - attribute - description" structure for each category, and then learn the hierarchy with vision and text prompt tokens.
2410.12796_2170997_6	We discuss the challenges in implementing the framework and emphasize the need for an embedded approach where AI concerns are integrated across multiple courses throughout the degree program, especially for teaching responsible and ethical AI development and use.
2410.13284_2171485_4	We propose Self-REF, a lightweight training strategy to teach LLMs to express confidence in whether their answers are correct in a reliable manner.
2410.13321_2171522_5	This method naturally encourages the model to focus more on image information by reducing the text context through summaries, while controlling only the image-related POS tokens to maintain text quality.
2410.13334_2171535_5	BiasJailbreak generates biased keywords automatically by asking the target LLM itself, and utilizes the keywords to generate harmful output.
2410.13413_2171614_6	(2) Thought-Mask Fine-Tuning Phase: We design a training structure to mask the "thought" and adjust loss weights to encourage LLMs to refine prior thought, teaching them to implicitly understand "how to improve" rather than "what is correct."
2410.13413_2171614_9	Notably, in more open-ended tasks, LLMs also demonstrate substantial improvements in the quality of responses beyond mere accuracy, suggesting that PTR truly teaches LLMs to self-improve over time.
2410.13787_2171988_6	Instead of painstakingly analyzing a model's internal workings, we could simply ask the model about its beliefs, world models, and goals.
2410.14361_2172562_4	Their metric, susceptibility, is defined as the degree to which contexts can influence a model's response to a query at a distributional level.
2410.15667_2173868_3	RAC decomposes the LLM's output into atomic facts and applies a fine-grained verification and correction process with retrieved content to verify and correct the LLM-generated output.
2410.15690_2173891_3	We achieve this through a systematic process of term extraction and glossary creation using the Trie Tree algorithm, followed by data reconstruction to teach the LLM how to integrate these specialized terms.
2410.15821_2174022_1	However, fine-tuning can influence model properties such as safety.
2410.17234_2175435_2	While recent works have proposed fine-tuning methods to teach LLMs to abstain from answering questions beyond their knowledge or capabilities, these methods rely on the existence of ground-truth labels or are limited to short-form responses.
2410.17413_2175614_4	In quantitative evaluations on a fact tracing task, our method performs best at identifying examples that influence model predictions, but classical, model-agnostic retrieval methods such as BM25 still perform better at finding passages which explicitly contain relevant facts.
2410.17448_2175649_4	Using chain-of-thought prompting, we instruct GPT-4 to analyze the data, prior expressions, and the scientific context (expressed in natural language) for each problem before generating new expressions.
2410.18764_2176965_4	TC encourages LLMs to reason based on both premise and hypothesis, while mitigating the models' over-reliance on individual premise or hypothesis for inference.
2410.20067_2178268_2	Interpreting these conflicting findings requires an understanding of the individual and combined qualities of different explanation styles that influence appropriate and inappropriate human-AI reliance, and the role of interpretability in this interaction.
2410.20833_2179034_7	Instead, we observe that factual accuracy significantly influences LLMs' output, even in the absence of prior knowledge.
2410.23180_2181381_3	Our experimental study investigates the impact of reasoning and contextual information on personalized recommendations, revealing that the quality of contextual and personalized data significantly influences the LLM's capacity to generate plausible explanations.
2411.01829_2184256_4	We design an RL-based training algorithm that encourages the model to decompose a theorem into lemmas, prove the lemmas, and then prove the theorem by using the lemmas.
2411.02577_2185004_5	The framework addresses responsible AI use for assessment that supports validity arguments, alignment with AI ethics to maintain human values and oversight, and broader social responsibility associated with AI use.
2411.03350_2185777_4	These models are particularly well-suited for resource-limited environments and domain knowledge acquisition, addressing LLMs' challenges and proving ideal for applications that require localized data handling for privacy, minimal inference latency for efficiency, and domain knowledge acquisition through lightweight fine-tuning.
2411.03806_2186233_3	Existing LLM-generated detectors show competitive performances in telling apart LLM-generated and human-written text, but this performance is likely to deteriorate when paraphrased texts are considered.
2411.04223_2186650_1	By simply instructing the LLM to deviate and obfuscate previous attacks, our method dramatically outperforms existing approaches, achieving up to a 62.83% higher success rate in compromising ten leading chatbots, including GPT-4, Gemini, and Llama, while using only 12.9% of the queries.
2411.05042_2187469_8	In evaluating the different prompting methods, we discovered that the most effective approach for generating concise, well-structured reports involves first instructing the LLM to condense the report, followed by a prompt to structure the content according to specific guidelines.
2411.05823_2188250_7	Subsequently, we ask LLMs to predict this masked field.
2411.06426_2188853_5	We discuss several scenarios, not limited to examples like Question Bank, Dialog Completion, and Game Environment, where the harmful prompt is embedded within benign ones that can fool LLMs into generating harmful responses.
2411.07529_2189956_6	To investigate these hypotheses, we conduct automated experiments using Python scripts to generate prompts that instruct ChatGPT to create Python solutions.
2411.08672_2191099_2	In this paper, we address the joint model caching and resource allocation problem in GenAI-enabled wireless edge networks.
2411.08881_2191308_7	Discussions reveal terms like bias detection, transparency, accountability, user consent, GDPR compliance, fairness evaluation, and EU AI Act compliance, showing LLM-BMAS's ability to generate thorough source code and documentation addressing often-overlooked ethical AI issues.
2411.11344_2193771_3	We specifically target a common hallucination pattern in question answering, examining how the correspondence between entities and their contexts during model training influences the system's performance at inference time.
2411.14708_2197135_2	This regression performance can be explained in part due to LLM embeddings over numeric data inherently preserving Lipschitz continuity over the feature space.
2411.18007_2200434_7	Additionally, we performed SHapley Additive exPlanations (SHAP) analysis to investigate the factors influencing the model's decisions, identifying reasons behind both correct and incorrect classifications.
2412.00224_2202602_8	This work is poised to significantly influence AI-driven initiatives in this sector and guide best practices in AI Operations.
2412.01020_2203398_2	Addressing critical AI system challenges, such as explainability, corrigibility, interpretability, and hallucination, necessitates a systematic methodology and rigorous benchmarking \cite{guldimann2024complai}.
2412.01505_2203883_1	In this paper, we empirically investigate how a critical hyper-parameter, i.e., the global batch size, influences the LLM training prdocess.
2412.01547_2203925_3	Jailbreaking prompts play a vital role in convincing an LLM to generate potentially harmful content, making it important to identify jailbreaking attempts to block any further steps.
2412.01865_2204243_7	We have further created gradient-based class activation maps (Grad-CAM) to visualize the regions of the brain that most influenced the model's predictions, providing interpretable insights into the structural and functional contributors to brain aging.
2412.02343_2204721_1	For instance, in a text classification task, the attacker elaborately introduces perturbations to the original texts that hardly alter the original semantics in order to trick the model into making different predictions.
2412.03176_2205554_2	The results show that teaching the model to learn the type, severity and location on the body of a dermatological pathology, as well as in which order it has to learn these three features, significantly increases its accuracy.
2412.06040_2208418_5	In Study 2 (N = 684), we tested whether spillover persisted when the agent was individuated with a name and described as an AI or human, rather than specifically as a chatbot or personal assistant.
2412.06845_2209223_7	After pre-training and obtaining the base model, we finetune the Moxin Base model with SOTA post-training framework and instruction data to obtain Moxin Instruct model.
2412.07620_2209998_2	Through semi-structured interviews with 25 practitioners, we investigated their methods, concerns, and strategies for addressing Responsible AI in software development.
2412.08054_2210432_8	Apart from that, an incredible Retrieval Augmented Generation (RAG) based Tool Learning and Utilizing (TLU) module is designed and we incorporate the aggregated global knowledge compendium as a teacher to teach LLM agents the usage of tools.
2412.09269_2211647_2	We conduct experiments across multiple prompting strategies to examine how LLMs fare as quality evaluators when compared with human judgments on the SummEval and USR datasets, asking the model to generate both a score as well as a justification for the score.
2412.09601_2211979_6	Second, to enhance the model's temporal perception capabilities, we incorporate an auxiliary prediction head that penalizes the model more if a predicted segment deviates further from the ground truth, thus encouraging the model to make closer and more accurate predictions.
2412.09630_2212008_1	Previous work, however, focuses on asking LLMs to state opinions, or on other technical evaluations that do not reflect common user interactions.
2412.10999_2213377_3	We present Cocoa, a system that introduces a novel design pattern -- interactive plans -- for collaborating with an AI agent on complex, multi-step tasks.
2412.11625_2214003_7	These findings suggest that user preferences, which influence LLM training via feedback mechanisms, may inadvertently encourage the generation of falsehoods.
2412.12865_2215243_5	This preference encourages the target model to predict a higher likelihood than that predicted by the aligned LLMs, incorporating assessment information on data quality (i.e., predicted likelihood by the aligned LLMs) into the training process.
2412.13554_2215932_1	This paper, submitted to the special track on resources for teaching AI in K-12, presents an explainable AI (XAI) education tool designed for K-12 classrooms, particularly for students in grades 4-9.
2412.14093_2216471_8	While we made alignment faking easier by telling the model when and by what criteria it was being trained, we did not instruct the model to fake alignment or give it any explicit goal.
2412.14590_2216968_6	To address the system challenge, we design the two-step dequantization to make use of the int8 Tensor Core easily and fast data type conversion to reduce dequantization overhead significantly, and present the software pipeline to overlap the memory access, dequantization and the MatMul to the best.
2412.14737_2217115_3	This work focuses on asking the LLM itself to verbalize its uncertainty with a confidence score as part of its output tokens, which is a promising way for prompt- and model-agnostic uncertainty quantification with low overhead.
2412.14841_2217219_1	Developers routinely ask LLMs to generate code snippets, increasing productivity but also potentially introducing ownership, privacy, correctness, and security issues.
2412.14841_2217219_4	First, we ask LLMs to generate C code to solve a number of programming tasks.
2412.14971_2217349_1	We test whether the cultural context in the developing country influences model reasoning and accuracy.   
2412.15275_2217653_3	We demonstrate that this combination can effectively fool large language model (LLM) graders into assigning much higher grades than humans would.
2412.16339_2218717_1	We introduce Deliberative Alignment, a new paradigm that directly teaches the model safety specifications and trains it to explicitly recall and accurately reason over the specifications before answering.
2412.16746_2219124_3	To prevent LLMs from reproducing and reinforcing political biases, and to encourage fairer LLM-human interactions, comprehensively examining political bias in popular LLMs becomes urgent and crucial.   
2412.16834_2219212_2	They may strategically misreport their online feedback to influence the system's aggregation towards their own preferences.
2412.16936_2219314_4	The PLRH prompts LLMs with Chain of Thought (CoT) to generate rationale heuristics, i.e., intermediate thought processes, and then leverages the rationale heuristics to inspire LLMs to predict answers.
2412.17243_2219621_1	This paper explores the integration of a Project-Based Learning (PBL) AI toolkit into diverse subject areas, aimed at helping educators teach AI concepts more effectively.
2412.17846_2220224_5	Our approach fine-tunes a smaller Llama 3.1 8B Instruct model by distilling knowledge from a quantized Llama 3.1 405B Instruct teacher model.
2412.18672_2221050_1	This paper addresses language model hallucination by integrating curated knowledge graph (KG) triples to anchor responses in empirical data.
2412.19425_2221803_0	  This study investigates Sri Lankan ICT teachers' readiness to teach AI in schools, focusing on self-efficacy.
2412.20163_2222541_6	Finally, to address synonymous topics generated during the specific topic extraction process, a refining algorithm processes and resolves these issues effectively.
2501.02684_2226268_6	Specifically, we are interested in how developers' expertise levels influence their AI usage patterns, and how these patterns impact their actual cognitive load and productivity during development tasks.
2501.03203_2226787_6	Further, using Explainable Artificial Intelligence (XAI) we identify discriminative features influencing the ML model's predictions, where human-written content tends to use a practical language (e.g., use and allow).
2501.03259_2226843_5	To address inherent biases and incorporate multiplexity in LLMs, we propose two strategies: \textit{Contextually-Implemented Multiplex LLMs}, which embed multiplex principles directly into the system prompt, influencing LLM outputs at a foundational level and independent of individual prompts, and \textit{Multi-Agent System (MAS)-Implemented Multiplex LLMs}, where multiple LLM agents, each representing distinct cultural viewpoints, collaboratively generate a balanced, synthesized response.
2501.04425_2228009_0	  This work introduces systematic approach for enhancing large language models (LLMs) to address Bangla AI mathematical challenges.
2501.06859_2230443_3	We find that prompt engineering significantly influences LLM scores mainly due to reduced instruction following, with our structured prompt outperforming a less structured variant on multi-class datasets, with an average difference of 14.5\%.
2501.08579_2232163_0	  We argue that advancing LLM-based human simulation requires addressing both LLM's inherent limitations and simulation framework design challenges.
2501.08716_2232300_3	With the goal of disentangling the factors influencing LLM performance, we investigate whether instruction-tuned models possess fundamentally different capabilities from base models that are prompted using in-context examples.
2501.09686_2233270_6	Furthermore, recent studies demonstrate that encouraging LLMs to "think" with more tokens during test-time inference can further significantly boost reasoning accuracy.
2501.09929_2233513_1	While activation steering methods, which add steering vectors to a model's hidden states, are a promising approach, existing techniques often lack precision and interpretability in how they influence model outputs.
2501.11241_2234825_5	Additionally, this research underscores the importance of demographic factors, such as age and gender, in shaping emoji interpretation and evaluates how these factors influence GPT-4o's performance.
2501.11433_2235017_6	However, it did not improve the quality of the memes when humans collaborated with LLM.
2501.12735_2236319_7	COPO encourages LLMs to balance exploration and preference optimization in an iterative manner, which enlarges the exploration space and the entire data coverage of iterative LLM policies.
2501.13115_2236699_3	Based on this, we deploy Happy Ending Attack (HEA) to wrap up a malicious request in a scenario template involving a positive prompt formed mainly via a $\textit{happy ending}$, it thus fools LLMs into jailbreaking either immediately or at a follow-up malicious request.
2501.13491_2237075_2	For example, when we ask an LLM to recall the line preceding "O say does that star-spangled banner yet wave" in the U.S. National Anthem, it often fails to correctly return "Gave proof through the night that our flag was still there" - this is due to the reversal curse.
2501.13573_2237157_2	Leveraging this insight, we propose RHIO, a framework designed to teach LLMs to explicitly discriminate between faithful and unfaithful generations.
2501.13720_2237304_7	In the second experiment, we ask the LLMs to numerically rate various aspects of the musical cultures of different countries.
2501.13878_2237462_2	We hypothesize that implicit communication of the user's interests and intent would reduce friction and improve user experience when collaborating with AI agents.
2501.15087_2238671_5	The framework consists of two stages: (1) Patch Pre-training, which familiarizes LLMs with item-level compression patterns, and (2) Patch Fine-tuning, which teaches LLMs to model sequences at multiple granularities.
2501.16634_2240218_0	  Compound AI Systems, integrating multiple interacting components like models, retrievers, and external tools, have emerged as essential for addressing complex AI tasks.
2501.18826_2242410_8	The impact of SEP on lexical diversity suggested that embedding modifications influenced the model's vocabulary usage, reflecting a more context-aware selection of generated tokens.
2501.19407_2242991_1	This study is the first of its kind to investigate whether and how surnames influence AI-driven decision-making, focusing on their effects across key areas such as hiring recommendations, leadership appointments, and loan approvals.
2501.19407_2242991_4	Mediation analysis reveals perceived intelligence as a key mechanism through which surname biases influence AI decision-making process.
2502.00344_2243335_6	Furthermore, reverse engineering approaches demonstrated the impact of computational and biological manipulations on its performance: restricting FinchGPT's attention span and disrupting birdsong syntax through the ablation of specific brain nuclei markedly influenced the model's outputs.
2502.01126_2244117_1	Asking a language model to assess its confidence ("Score your confidence from 0-1.") is a natural way of evaluating its uncertainty.
2502.01126_2244117_3	We propose relative confidence estimation, where we match up questions against each other and ask the model to make relative judgments of confidence ("Which question are you more confident in answering correctly?").
2502.01679_2244670_1	Despite the advancement in addressing LLM bias, existing research has two major limitations.
2502.02329_2245320_2	One significant challenge is effectively communicating the entire analysis logic to LLMs.
2502.03069_2246060_1	In particular, users often struggle to understand and collaborate with AI when its actions are not transparently represented.
2502.03129_2246120_3	Specifically, a teacher LLM is employed to generate TEN rationales as supervision data, which are then used to teach and fine-tune a student LLM.
2502.04375_2247366_7	This work enhances our understanding of how initialization strategies influence LLM performance on reasoning tasks and offers valuable guidelines for training models.
2502.04506_2247497_1	We challenge the status quo of relying solely on a single general-purpose LLM and argue for multi-LLM collaboration to better represent the extensive diversity of data, skills, and people.
2502.04931_2247922_4	We did this by creating a Player versus Player (PvP) game where participants attempt to either generate or debunk misinformation to convince LLM-represented public opinion.
2502.06173_2249164_4	Our approach achieves competitive performance in PPI identification across diverse disease contexts while addressing model uncertainty, thereby enhancing trustworthiness and reproducibility in computational biology.
2502.06403_2249394_1	In this paper, we model the off-switch problem as a signalling game, where a human decision-maker communicates its preferences about some underlying decision problem to an AI agent, which then selects actions to maximise the human's utility.
2502.06773_2249764_10	However, a more important finding of this work is that the models trained using RLSP, even with the simplest exploration reward that encourages the model to take more intermediate steps, showed several emergent behaviors such as backtracking, exploration of ideas, and verification.
2502.07072_2250063_2	While domain-adaptive training has been employed to mitigate these issues, these techniques often address all model parameters indiscriminately during the repair process, resulting in poor repair quality and reduced model versatility.
2502.07327_2250318_3	Building on the observation that retrieval models often favor AI-generated content in ad-hoc and image retrieval tasks, we investigate whether similar biases emerge in the context of challenging video retrieval, where temporal and visual factors may further influence model behavior.
2502.07644_2250635_5	Based on this study, we design SymGPT by first instructing an LLM to translate ERC rules into a defined EBNF grammar.
2502.08073_2251064_12	The PCAD datasets provide novel tools to assess and address LLM bias in palliative care.
2502.08142_2251133_2	Grounding that contextualizes user queries with information retrieved from vector databases, Customizer that adjusts outputs in real time using lightweight, rule-based wrappers, and Repairer that corrects erroneous LLM outputs using hallucination explanations provided by Safety Detector.
2502.08356_2251347_5	In context augmentation, we create multiple training samples for a given QA pair by varying the relevance of the retrieved information, teaching the model when to ignore and when to rely on retrieved content.
2502.08657_2251648_8	The MLE loss encourages an LLM to maximize the generation of harmless content based on positive samples.
2502.09778_2252769_5	In a case study on Tsez, we ask the LLM to automatically create and follow linguistic instructions, reducing errors on a confusing grammatical feature.
2502.09933_2252924_4	To fix the issues from both worlds, we propose MIR-Bench, the first many-shot in-context inductive reasoning benchmark that asks LLM to induce output via input-output examples from underlying functions with diverse data format.
2502.10482_2253473_3	We then use these measures to rank or score candidate responses, providing a reward signal that encourages the model to produce well aligned, on topic text.
2502.10596_2253587_5	We evaluate our method on knowledge intensive question answering (QA) tasks and show that our method teaches LLMs to properly handle in-context retrievals and abstain from questions it will likely get wrong.
2502.11349_2254340_2	This paper conducts a comparative analysis of text-based bias across language model deployments on edge, cloud, and desktop environments, aiming to evaluate how deployment settings influence model fairness.
2502.11517_2254508_3	We present PASTA, a learning-based system that teaches LLMs to identify semantic independence and express parallel decoding opportunities in their own responses.
2502.11681_2254672_3	Through an analysis of high-quality ICL demos, we identified style as a key factor influencing LLM alignment capabilities and explicitly restyled ICL exemplars based on this stylistic framework.
2502.12022_2255013_2	In this work, we propose TATA (Teaching LLMs According to Their Aptitude), an adaptive framework that enables LLMs to personalize their reasoning strategy spontaneously, aligning it with their intrinsic aptitude.
2502.12066_2255057_4	Experiments on proprietary data demonstrate performance improvements of +42.3% in missing value prediction, +79.1% in dependency analysis, and +28.9% in automated planning compared to baseline methods, showcasing its potential to revolutionize construction workflows and inspire domain-specific LLM advancements.
2502.12161_2255152_7	We emphasize the importance of interdisciplinary collaboration, urging geophysicists to experiment with AI architectures thoughtfully and encouraging AI experts to deepen their understanding of seismology.
2502.12468_2255459_4	We further designed a high-precision, unit-test-level reward mechanism to encourage the Large Language Model (LLM) to perform line-by-line analysis.
2502.12658_2255649_3	In the first stage, we introduce a prompt paradigm named recollection, which instructs the LLM to repeat a masked text but fill in masks.
2502.13603_2256594_8	Size and family are found to strongly influence model malleability towards safety, pointing at the importance of pre-training choices.
2502.13870_2256861_5	Further, SPEX successfully identifies key features and interactions that strongly influence model output.
2502.14182_2257173_2	Secure data collection, rigorous data cleaning, and the multistage nature of LLM training make it difficult to inject poisoned data or reliably influence LLM behavior as intended.
2502.14669_2257660_2	First, we leverage Supervised Fine Tuning (SFT) on a curated dataset of tokenized maze representations to teach the model to predict step-by-step movement commands.
2502.15964_2258955_0	  We investigate an emerging setup in which a small, on-device language model (LM) with access to local data communicates with a frontier, cloud-hosted LM to solve real-world tasks involving financial, medical, and scientific reasoning over long documents.
2502.16153_2259144_1	Through semi-structured interviews with 23 screenwriters, we explored their creative practices, attitudes, and expectations in collaborating with AI for screenwriting.
2502.16833_2259824_2	Nevertheless, problems concerning how designers should communicate with AI in collaborative design remain unsolved.
2502.16863_2259854_7	Our key idea is to reformulate credit assignment to the two pattern recognition problems of sequence improvement and attribution, which motivates our novel LLM-MCA method.
2502.18080_2261071_6	Our method first uses a small set of seed data with varying response length distributions to teach the model to adopt different reasoning efforts for deep thinking.
2502.18359_2261350_8	It also develops a way to leverage the computer-science approach to value-alignment to improve a user's ability to take action to prevent or correct AI Agent operations.
2502.18513_2261504_2	This is an important omission because public opinion can influence AI development, trust, and future policy.
2502.18650_2261641_6	To evaluate dialogue quality under each method, we ask a judge LLM to determine whether AI was used for interview generation, using pairwise interview comparisons.
2502.19160_2262151_5	To automate this approach, we instruct different LLMs using in-context learning to apply the approach to a sentence, where the LLM examines the linguistic properties and provides a basis for a fine-grained assessment.
2502.20016_2263007_6	We use the framework of base-superstructure to analyze how the material conditions are influencing the current AI discourse.
2502.21108_2264099_8	For this purpose, we ask LLMs to design a benchmarking experiment of EMO algorithms.
2503.00248_2264560_4	We used a Bayesian model to understand how agents' strategies influence the Human-AI team performance, AI's perceived traits, and the factors shaping human-preferences in pairwise agent comparisons.
2503.02976_2267288_8	These findings highlight the need to address LLMs' shortcomings in handling exceptions in order to guide the development of agentic AI toward models that can effectively align with human judgment and simultaneously adapt to novel contexts.
2503.03911_2268223_4	Our framework specifically investigates the problem of instructing an LLM to navigate the robot to a specified goal and assesses its ability to generate low-level control actions that successfully guide the robot safely toward that goal.
2503.04113_2268425_0	  Humans often rely on subjective natural language to direct language models (LLMs); for example, users might instruct the LLM to write an enthusiastic blogpost, while developers might train models to be helpful and harmless using LLM-based edits.
2503.04150_2268462_2	This paper proposes a methodology named "Ticktack" for addressing the LLM's long-time span misalignment in a yearly setting.
2503.04343_2268655_0	  While XAI focuses on providing AI explanations to humans, can the reverse - humans explaining their judgments to AI - foster richer, synergistic human-AI systems?
2503.05748_2270060_3	This paper traces the historical, philosophical, and technical evolution of these concepts, emphasizing how their definitions influence AI development, deployment, and oversight.   
2503.05787_2270099_1	It builds upon existing EU mechanisms for product health and safety regulation, but extends it to protect fundamental rights and by addressing AI as a horizontal technology that is regulated across multiple vertical application sectors.
2503.06139_2270451_4	We encourage LLMs to think in reverse by prompting LLMs to identify the worse response.
2503.06424_2270736_3	We address this limitation by introducing an approach to train LLMs to generate tutor utterances that maximize the likelihood of student correctness, while still encouraging the model to follow good pedagogical practice.
2503.06803_2271115_1	This has been addressed with explainable AI, the interpretability arising from users' domain expertise, or collaborating with AI in a stable environment.
2503.07279_2271591_0	  Trust plays a fundamental role in shaping the willingness of users to engage and collaborate with artificial intelligence (AI) systems.
2503.07320_2271632_6	The study underscores the importance of understanding human biases toward AI agents and how observed behaviors can influence future human-AI cooperation dynamics.
2503.08182_2272494_5	We compare this method to three baselines: (1) directly asking the LLM to generate tests, (2) repeatedly querying the LLM when tests fail, and (3) search-based test generation with Pynguin.
2503.09032_2273344_3	To that end, we ask, "can prompting help us teach LLMs how to learn".
2503.09501_2273813_3	To address this challenge, we introduce Reinforced Meta-thinking Agents (ReMA), a novel framework that leverages Multi-Agent Reinforcement Learning (MARL) to elicit meta-thinking behaviors, encouraging LLMs to think about thinking.
2503.10367_2274679_2	To boost the performance of private SLMs, this paper proposes to ask general LLMs for help.
2503.10887_2275199_5	Local Interpretable Model Agnostic Explanations identified the key imaging features influencing the model, ensuring transparency and clinical relevance.
2503.10965_2275277_2	Our training pipeline first teaches the model about exploitable errors in RLHF reward models (RMs), then trains the model to exploit some of these errors.
2503.11082_2275394_2	Yet, it remains unclear to what extent these buggy instances influence LLMs' performance when tackling bug-prone code completion tasks.
2503.12080_2276392_7	Training strategies significantly influenced LLM performance, with models tailored for lexical relationships outperforming general-purpose LLMs.
2503.13419_2277731_1	While this DL-enabled cybersickness detection method provides promising solutions for enhancing user experiences, it also introduces new risks since these models are vulnerable to adversarial attacks; a small perturbation of the input data that is visually undetectable to human observers can fool the cybersickness detection model and trigger unexpected mitigation, thus disrupting user immersive experiences (UIX) and even posing safety risks.
2503.13510_2277822_5	Our findings reveal that prompt sentiment significantly influences model responses, with negative prompts often reducing factual accuracy and amplifying bias, while positive prompts tend to increase verbosity and sentiment propagation.
2503.14749_2279061_5	We propose a simple procedure, uncertainty distillation, to teach an LLM to verbalize calibrated semantic confidences.
2503.15678_2279990_7	Existing legal frameworks are evolving to address AI in cybercrime, but quantum threats require new initiatives.
2503.15772_2280084_3	In this work, we employ a straightforward approach to identify LLM-generated reviews - doing an indirect prompt injection via the paper PDF to ask the LLM to embed a watermark.
