1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2409.13373_2151005_4	OpenAI claims that their recent o1 (Strawberry) model has been specifically constructed and trained to escape the normal limitations of autoregressive LLMs--making it a new kind of model: a Large Reasoning Model (LRM).
2409.13884_2151516_2	Recent research has shown a growing interest in multi-LLM approaches, which have been demonstrated to be effective in improving the quality of reasoning and factuality in LLMs.
2409.13897_2151529_3	A comprehensive evaluation of LLMs is conducted to assess their capabilities in these languages, revealing the challenges of multilingual and multicultural generalization.
2409.13902_2151534_8	62.5% of the top 10 documents retrieved by RAG were selected as the top references in the LLM response, with an average ranking of 4.9.
2409.14037_2151669_9	Moreover, we observe an alarming trend where human evaluators are deceived by incorrect responses from GPT-4 Turbo.
2409.14478_2152110_1	However, high-quality evidence is urgently needed on the potential and limitation of LLMs in providing accurate clinical decisions based on real-world medical data.
2409.15551_2153183_4	Additionally, experiments on context-aware learning, in-context learning, and instruction tuning are performed to examine the usefulness of LLM training schemes in this direction.
2409.16732_2154364_3	These stories were not only seen as more relatable but also similarly authentic to human-written ones, highlighting the potential of LLMs in helping young adults manage their struggles.
2409.16900_2154532_1	The grounding of LLMs knowledge into the empirical world has been considered a crucial pathway to exploit the efficiency of LLMs in robotics.
2409.16900_2154532_4	The roadmap for LLMs grounding is envisaged in an active bodily system as the reference point for experiencing the environment, a temporally structured experience for a coherent, self-related interaction with the external world, and social skills to acquire a common-grounded shared experience.
2409.17561_2155193_2	Despite the growing interest, limited efforts have been made to thoroughly evaluate the actual capabilities of LLMs in this task.   
2409.17698_2155330_4	The findings include: First,through several rounds of iterations the inter-reliability between GPT and human raters reached a level that is generally accepted by educators.
2409.18014_2155646_2	Moreover, a dilemma was often encountered when we tried to select the most suitable LLM from a large number of LLMs amidst explosive growth aiming for outstanding performance, affordable prices, and short response delays.
2409.18290_2155922_2	To address this, we introduce RadOnc-GPT, a specialized Large Language Model (LLM) powered by GPT-4 that has been designed with a focus on radiotherapeutic treatment of prostate cancer with advanced prompt engineering, and specifically designed to assist in generating responses.
2409.18764_2156396_3	Experiments were conducted using two leading VQA benchmark datasets, ChartQA and PlotQA, with visualizations generated by OpenAI's GPT-3.5 Turbo and Meta's Llama 3.1 70B-Instruct models.
2409.18957_2156589_4	The classification is performed by LLMs using a method similar to that used by humans who manually explore and understand the data to decide classifications.
2409.18989_2156621_5	Unlike the large models used in StarCraft LLMs such as GPT-3.5, Phi2 is trained primarily on textbook data and contains little inherent knowledge of StarCraft II beyond what is provided by our training process.
2409.18996_2156628_7	An associated GitHub repository that collects the relevant papers can be found at https://github.com/ZuyiZhou/Awesome-Cross-modal-Reasoning-with-LLMs
2409.19382_2157014_2	However, the autoregressive nature of LLMs inherently poses a challenge as errors may accumulate if mistakes are made in the intermediate reasoning steps.
2409.19450_2157082_5	Task types were found to affect users' intentions to use secretive behavior, primarily through influencing perceived external judgment regarding LLM usage.
2410.00699_2158900_4	Specifically, we consider a popular tuning paradigm for downstream tasks, head tuning, where all pre-trained parameters are frozen and only individual heads are trained atop pre-trained LLMs.
2410.01306_2159507_7	Upon user queries, relevant segments are retrieved and provided as context to LLMs, enhancing their ability to generate empathetic and con-textually relevant responses.
2410.01487_2159688_2	Yet, the basic linguistic units processed in these LMs are determined by subword-based tokenization, which limits their validity as models of learning at and below the word level.
2410.02338_2160539_2	While external documents are typically considered as a method to incorporate domain-specific information, they also contain intermediate reasoning results related to the query, this suggests that documents could enhance the reasoning capability of LLMs, which has not been previously explored.
2410.02425_2160626_1	The performance of an LLM inference service is largely determined by the hardware onto which it is deployed, but understanding of which hardware will deliver on performance requirements remains challenging.
2410.02653_2160854_6	Our findings indicate that the persuasiveness of LLMs correlates positively with model size, but smaller models can also be made to have a higher persuasiveness than much larger models.
2410.02958_2161159_3	These methods, however, are usually designed only for a particular process in the AI development pipeline and do not efficiently use the inherent capacity of the LLMs.
2410.03018_2161219_1	As GenAI technologies, such as ChatGPT, become increasingly integrated into educational settings, teachers are required to adapt to evolving classroom dynamics, where AI plays a significant role in content creation, personalized learning, and student engagement.
2410.03124_2161325_2	To fine-tune a black-box LLM, labeled data are always required to adjust the model parameters.
2410.03168_2161369_7	Experiments show that almost all mainstream watermarking algorithms are easily identified with our well-designed prompts, while Water-Probe demonstrates a minimal false positive rate for non-watermarked LLMs.
2410.03255_2161456_2	To objectively assess the capabilities of existing LLMs, performance benchmarks are conducted.
2410.03769_2161970_2	Moreover, the safety mechanisms of LLMs in scientific tasks are insufficiently studied.
2410.04698_2162899_2	Although some recent benchmarks have been developed to evaluate the long-context capabilities of LLMs, there is a lack of benchmarks evaluating the mathematical reasoning abilities of LLMs over long contexts, which is crucial for LLMs' application in real-world scenarios.
2410.06992_2165193_12	In addition, over 94% of the issues were created before LLM's knowledge cutoff dates, posing potential data leakage issues.
2410.07739_2165940_1	Although many efforts have been made, it is still a challenge to balance the training budget, downstream performance, and the general capabilities of the LLMs in many applications.
2410.07826_2166027_1	While morally clear scenarios are more discernible to LLMs, greater difficulty is encountered in morally ambiguous contexts.
2410.08068_2166269_6	Experiments are conducted on nine benchmarks which demonstrates that our approach improves the reasoning accuracy of LLMs.
2410.08102_2166303_3	In this framework, each data selection method serves as an independent agent, and an agent console is designed to dynamically integrate the information from all agents throughout the LLM training process.
2410.08475_2166676_1	However, no matter the size of LLMs, certain problems cannot be resolved in a single forward pass.
2410.08545_2166746_8	Additionally, we find that the personalities of LLMs are derived from their pre-trained data.
2410.09024_2167225_0	  The robustness of LLMs to jailbreak attacks, where users design prompts to circumvent safety measures and misuse model capabilities, has been studied primarily for LLMs acting as simple chatbots.
2410.09699_2167900_5	Although all approaches improve the performance of the LLMs, RAG alone does not significantly improve the performance and fine-tuning is needed for better results.
2410.10456_2168657_4	These allocators are designed to be fully pluggable, making it broadly applicable across all mainstream MoE-based LLMs.
2410.10852_2169053_5	Preliminary findings are presented with the approach applied to ChatGPT-4 generated test sentences.
2410.10870_2169071_1	However, pretrained LLMs such as ChatGPT are periodically evolved, i.e., model parameters are frequently updated), making it challenging for downstream users with limited resources to keep up with fine-tuning the newest LLMs for their domain application.
2410.10991_2169192_1	A study based on prompt engineering was carried out to uncover how LLMs discriminate varieties of Brazilian Portuguese, specifically if sociolinguistic rules are taken into account in four LLMs: GPT 3.5, GPT-4o, Gemini, and Sabi.-2.
2410.11720_2169921_5	ATTNChecker is designed based on fault propagation patterns of LLM and incorporates performance optimization to adapt to both system reliability and model vulnerability while providing lightweight protection for fast LLM training.
2410.12126_2170327_4	A natural question arises: Is there a kind of graph representation that can be described by natural language for LLM's understanding and is also easy to require to serve as the raw input for LLMs?
2410.12298_2170499_4	This structure is designed to reflect the input question and generate more validated deductive knowledge, thereby enhancing the alignment of LLMs and KGs and ensuring more cohesive integration.
2410.13032_2171233_1	One hypothesis suggests that these capabilities are primarily executed by small subnetworks within the LLM, known as circuits.
2410.13073_2171274_3	A wide range of model explanation approaches have been developed for deep learning models, However, these local explanations are designed for single-output tasks like classification and regression,and cannot be directly applied to LLMs, which generate sequences of tokens.
2410.13213_2171414_8	After that, to prevent hallucinations in LLMs, such as sacrificing solving accuracy to avoid execution errors, the model alignment and self-correction mechanism are adopted in LLMOPT.
2410.13453_2171654_4	We introduce two approaches: (1) LLM-Guided Augmentation Policy Optimization, where augmentation policies are selected by an LLM prior to training and iteratively refined across multiple training cycles, and (2) Adaptive LLM-Guided Augmentation Policy Optimization, where policies adapt in real-time based on performance metrics.
2410.13501_2171702_1	We propose an architecture where a Reinforcement Learning (RL) Agent guides an LLM's space exploration: (1) the Agent has access to domain-specific information, and can therefore make decisions about the quality of candidate solutions based on specific and relevant metrics, which were not explicitly considered by the LLM's training objective; (2) the LLM can focus on generating immediate next steps, without the need for long-term planning.
2410.13918_2172119_6	We introduce the FTSmartAudit framework, which is designed to develop cost-effective, specialized models for smart contract auditing through the fine-tuning of LLMs.
2410.14235_2172436_5	To enhance consistency across languages, we propose novel "Compositional Representations" where tokens are represented as composition of equivalent tokens across languages, with resulting conflict reduction (up to -4.7%) indicating benefits of shared LLM representations.
2410.14975_2173176_2	Specifically, the out-of-distribution detection (OoDD) capabilities of large vision-language models (LVLMs), such as GPT-4o, which are trained on massive multi-modal data, have not been sufficiently addressed.
2410.15153_2173354_2	However, the task of unlearning a fact is much more challenging in recent large language models (LLMs), because the facts in LLMs can be deduced from each other.
2410.15288_2173489_10	Its robustness was proven through consistent performance across different LLM architectures.
2410.15884_2174085_3	Quantitative scores generated by GPT model have been analyzed using Bayesian regression to derive trend lines.
2410.16314_2174515_1	This paper explores activation engineering, where outputs of pre-trained LLMs are controlled by manipulating their activations at inference time.
2410.16443_2174644_0	  Neurons in auto-regressive language models like GPT-2 can be interpreted by analyzing their activation patterns.
2410.17126_2175327_7	Our findings suggest that direct RL training of LLMs may be more suitable for relatively minor changes, such as alignment, than for learning new tasks altogether, even if an informative reward signal can be expressed programmatically.
2410.17406_2175607_3	Over 25,000 vulnerabilities have been identified so far in 2024, which are introduced after popular LLMs' (e.g., GPT-4) training data cutoff.
2410.17482_2175683_1	We study a range of LLMs and find that the largest models we tested are able to draw human-like inferences when the inference is determined by context and can generalize to unseen adjective-noun combinations.
2410.17558_2175759_8	Extensive experiments are conducted with 40 LLMs over 1,018 discipline-specific questions.
2410.18824_2177025_0	  Privacy vulnerabilities in LLMs, such as leakage from memorization, have been constantly identified, and various mitigation proposals have been proposed.
2410.18824_2177025_5	The experiments are executed on three different LLM architectures fine-tuned on three datasets with LoRA.
2410.18906_2177107_1	While various methods have been proposed to elicit the preferences of such models, countermeasures have been taken by LLM trainers, such that LLMs hide, obfuscate or point blank refuse to disclosure their positions on certain subjects.
2410.19811_2178012_9	The effectiveness of ControlAgent is demonstrated via extensive comparative evaluations between LLM-based and traditional human-involved toolbox-based baselines.
2410.19848_2178049_1	Further progress has been made in multimodal LLMs, with many datasets created to evaluate LLMs with vision abilities.
2410.20037_2178238_4	Furthermore, it is argued that existing dual-process computational cognitive architectures (models of the human cognitive/psychological architecture) provide usable frameworks for fundamentally enhancing LLMs by introducing dual processes (both implicit and explicit) and, in the meantime, can also be enhanced by LLMs.
2410.20749_2178950_4	Matryoshika is trained to pivot the outputs of the black-box LLM aligning with preferences during iterative interaction, which enables controllable multi-turn generation and self-improvement in optimizing intermediate guidance.
2410.20783_2178984_1	Recent advancements in Large Language Models (LLMs) have significantly improved text generation capabilities, but these systems are still known to hallucinate, and granular uncertainty estimation for long-form LLM generations remains challenging.
2410.21008_2179209_3	The responses were analyzed by computing averages, standard deviations, and performing significance tests to investigate differences between GPT-3.5 and GPT-4.
2410.21071_2179272_1	Artifacts generated by state of the art LLM technology are expected to be useful in the sense that a user will be able to use the LLM generated artifact after a small number of easy modifications.
2410.21218_2179419_1	In recent years, a great surge has been witnessed in the introduction of both commercial and open-source LLMs.
2410.21411_2179612_6	The manual prompt design process for LLMs at the reasoning phase is tedious and an automated prompt optimization method is desired.
2410.21750_2179951_2	We investigate this question by injecting facts into LMs from a new probing dataset, "Outlandish", which is designed to permit the testing of a spectrum of different fact types.
2410.21779_2179980_1	Although massive efforts have been made to empower the logical reasoning ability of LLMs via external logical symbolic solvers, crucial challenges of the poor generalization ability to questions with different features and inevitable question information loss of symbolic solver-driven approaches remain unresolved.
2410.22839_2181040_3	This limited-size benchmark was found to produce a robust ranking that correlates to human feedback at $\rho \sim 0.8$ with GPT-4 and Claude Opus models achieving the highest rankings.
2410.24190_2182391_6	The experiment results show a shift in voter choices towards the Democratic nominee following LLM interaction, widening the voting margin from 0.7% to 4.6%, even though LLMs were not asked to persuade users to support the Democratic nominee during the discourse.
2411.00154_2182581_5	In this work, we argue that MIA still works on LLMs, but only when multiple documents are presented for testing.
2411.00331_2182758_1	Despite efforts to improve the accuracy of LLM-based recommendation models, relatively little attention is paid to beyond-utility dimensions.
2411.00849_2183276_7	Statistical analysis was used to compare scores between feedback and non-feedback questions, and the effect of ChatGPT feedback on eye-tracking data was examined.
2411.00860_2183287_1	Culture has been widely studied in psychology and anthropology, and there has been a recent surge in research on making LLMs more culturally inclusive in LLMs that goes beyond multilinguality and builds on findings from psychology and anthropology.
2411.01245_2183672_0	  Reinforcement Learning from Human Feedback (RLHF) has been proven to be an effective method for preference alignment of large language models (LLMs) and is widely used in the post-training process of LLMs.
2411.01471_2183898_6	The framework is designed to integrate seamlessly with existing LLM systems, as it does not require modifications to the underlying architectures.
2411.01595_2184022_5	The Instruction Router is designed to generate specific prompts tailored for each corresponding LLM, guiding them to focus on distinct aspects of the RSIC task.
2411.01610_2184037_2	To deepen our understanding of CD, we first theoretically prove that CD could be viewed as linearly extrapolating the next-token logits from a huge and hypothetical LM.
2411.02523_2184950_7	Lab tests, including liver function, metabolic/toxicology panels, and serology/immune tests, were generally interpreted correctly by LLMs for differential diagnosis.
2411.02528_2184955_2	We propose MORCELA, a new linking theory between LM scores and acceptability judgments where the optimal level of adjustment for these effects is estimated from data via learned parameters for length and unigram frequency.
2411.02816_2185243_9	The results and analysis of these surveys are presented to highlight the impact of ChatGPT in this context.
2411.03349_2185776_4	The resulting logic rules are translated into natural language, allowing targeted knowledge injection and seamless integration into LLM prompts for LLM's downstream task reasoning.
2411.04847_2187274_1	However, they sometimes generate responses that are logically coherent but factually incorrect or misleading, which is known as LLM hallucinations.
2411.05232_2187659_5	Additionally, the zero-shot benchmark results indicate that aggregated high-quality human reviews are overwhelmingly preferred over LLM-generated responses, even for the most capable models like GPT-4o.
2411.06145_2188572_8	Finally, 1,243 failure cases made by the best-performing LLM under test are analyzed and categorized in this paper for practical guidance and future enlightenment.
2411.06254_2188681_2	Furthermore, the internal mechanisms of LLMs during ranking are still not fully understood.
2411.06272_2188699_7	The source code for Golden Touchstone and model weight of Touchstone-GPT have been made publicly available at \url{https://github.com/IDEA-FinAI/Golden-Touchstone}, contributing to the ongoing evolution of FinLLMs and fostering further research in this critical area.
2411.06713_2189140_4	Statistically significant differences (p < 0.05) were found between Sporo and the other models, with post-hoc tests showing significant improvements over GPT-3.5, Gemma-9B, and Llama 3.2-3B. While Sporo outperformed GPT-4o by up to 10%, the difference was not statistically significant (p = 0.25).
2411.06877_2189304_5	Thus a complete replacement with LLMs is argued to be too risky and not fully reliable.
2411.06899_2189326_2	While safety alignment in short context has been widely studied, the safety concerns of long-context LLMs have not been adequately addressed.
2411.07071_2189498_0	  While induction is considered a key mechanism for in-context learning in LLMs, understanding its precise circuit decomposition beyond toy models remains elusive.
2411.07091_2189518_3	Based on more than 587 patch reviews provided by RevMate, we observed that 8.1% and 7.2%, respectively, of LLM-generated comments were accepted by reviewers in each organization, while 14.6% and 20.5% other comments were still marked as valuable as review or development tips.
2411.07336_2189763_3	Because sets are comprised of arbitrary symbols (e.g. numbers, words), they provide an opportunity to test, systematically, the invariance of LLMs' algorithmic abilities under simple lexical or semantic variations.
2411.07360_2189787_1	Although hallucinations in ChatGPT are studied for textual responses, it is unknown how ChatGPT hallucinates for technical texts that contain both textual and technical terms.
2411.07360_2189787_8	In a user study, we find that the improved responses with CHIME are considered more useful than those generated from ChatGPT without CHIME.
2411.07656_2190083_1	This paper addresses the specific problem of biased pronoun usage in LLM outputs, particularly the inappropriate use of traditionally gendered pronouns ("he," "she") when inclusive language is needed to accurately represent all identities.
2411.07990_2190417_3	As of yet, it is not known whether linguistic generalization in LLMs could equally well be explained as the result of analogical processes, which can be formalized as similarity operations on stored exemplars.
2411.08028_2190455_1	However, the large size and high computation demands of LLMs limit their practicality in many applications, especially when further fine-tuning is required.
2411.08534_2190961_3	In LLM-ITL, global topics and document representations are learned through the NTM.
2411.08724_2191151_6	The chunks with the highest score are selected and input into the LLMs to generate responses.
2411.09266_2191693_4	Extensive experiments are conducted on videos from a benchmark multimodal deepfake dataset to evaluate the detection performance of ChatGPT and compare it with the detection capabilities of state-of-the-art multimodal forensic models and humans.
2411.10145_2192572_6	When numerical calculations are required, we use code generated by LLMs to avoid the disadvantage of LLM not being good at calculations.
2411.10163_2192590_3	This benchmark is derived from existing QA datasets, annotated with proprietary LLMs and verified by humans for accuracy.
2411.10213_2192640_5	Through analysis, we concluded that further optimization is needed in both the LLM itself and the design of Agentic flow to improve the effectiveness of the Agent in bug fixing.
2411.10583_2193010_2	However, readability evaluation differs among developers, so personalization of the evaluation by LLM is needed.
2411.13560_2195987_9	Simulation results of the netlist are fed back to the LLM for further topology refinement, ensuring the circuit design specifications are met.
2411.14033_2196460_3	The tools can be regarded as a predefined operational process with private or real-time knowledge that does not exist in the parameters of LLMs.
2411.14708_2197135_2	This regression performance can be explained in part due to LLM embeddings over numeric data inherently preserving Lipschitz continuity over the feature space.
2411.15715_2198142_4	Comprehensive experiments were conducted with various LLMs such as Mixtral, LLaMA-2, Qwen, and PhiMoE across three test environments featuring different CPUs and GPUs.
2411.16337_2198764_3	A corpus of 20 real-world essays from Year 7 and 8 students was analyzed using five LLMs: GPT-3.5, GPT-4, o1, LLaMA 3-70B, and Mixtral 8x7B, aiming to provide in-depth insights into LLMs' scoring capabilities.
2411.16594_2199021_7	Paper list and more resources about LLM-as-a-judge can be found at https://github.com/llm-as-a-judge/Awesome-LLM-as-a-judge and https://llm-as-a-judge.github.io.
2411.16818_2199245_4	Clinical notes were concatenated chronologically for each patient and transformed into expert summaries using Med42-v2 70B. A multi-representational learning framework was developed to integrate these data sources, leveraging LLMs to enhance textual data while mitigating direct reliance on LLM predictions, which can introduce challenges in uncertainty quantification and interpretability.
2411.16985_2199412_3	Similar to a general-purpose LLM, we assume that our much smaller Reasoning Models may be asked arbitrary questions from unknown distributions, so we focus on evaluation in an unseen setting.
2411.17525_2199952_6	Further, we show that our method can be efficiently supported in terms of GPU kernels at various batch sizes, advancing both data-free and non-uniform quantization for LLMs.
2411.17569_2199996_4	Here, attackers inject malicious code for the training data, which can be carried over into the HDL code generated by LLMs.
2411.17855_2200282_0	  The impact of Large Language Models (LLMs) like GPT-3, GPT-4, and Bard in computer science (CS) education is expected to be profound.
2412.00251_2202629_12	This study establishes that CBT specific fine-tuning can effectively encode therapeutic competencies in small LLMs, though significant technical and ethical considerations must be resolved prior to clinical deployment.
2412.00543_2202921_1	While their correlation against human annotators has been widely studied, consistency as evaluators is still understudied, raising concerns about the reliability of LLM evaluators.
2412.00546_2202924_1	In this paper, we consider the application of LLMs on symmetric tasks where a query is asked on an (unordered) bag of elements.
2412.00726_2203104_3	With the recent advancements in LLM technology, some open-source applications have been developed to address this problem.
2412.00804_2203182_1	As the problem has not been thoroughly examined yet, this study examines identity consistency across nine LLMs.
2412.01069_2203447_4	This underperformance can be traced to GPT's distinct textual and quantitative approaches: its textual processing follows a consistent, generalized pattern across firms, highlighting its strengths in language tasks.
2412.01617_2203995_2	However, we argue that the use of widespread LLMs like ChatGPT is more prevalent--and riskier, as they are not designed for this purpose.
2412.01955_2204333_6	The findings demonstrate the potential of LLMs "out-of-the-box" to support the generation of clinical trial education materials with minimal trial-specific engineering, but implementation with a human-in-the-loop is still needed to avoid misinformation risks.
2412.02466_2204844_3	These 30 oaths were first translated via ChatGPT and then analyzed and compared to the human translation in terms of types of gaps left unfulfilled by ChatGPT.
2412.02466_2204844_5	It concludes that ChatGPT translation of oaths is still much unsatisfactory, unveiling the need of further developments of ChatGPT, and the inclusion of Arabic data on which ChatGPT should be trained including oath expressions, oath nuances, rituals, and practices.
2412.03123_2205501_1	We fine-tune a pair of LLM paraphrasers that are designed to behave differently so that their paraphrasing difference reflected in the text semantics can be identified by a trained decoder.
2412.03856_2206234_6	However, several issues related to potential errors arising from LLMs were identified, which can potentially mislead students.
2412.04057_2206435_2	We use an evolutionary hill-climbing algorithm, where the mutations and seeds of the initial programs are controlled by LLMs.
2412.04503_2206881_2	It is intended to be useful to those in academia and industry who are interested in gaining an understanding of the key LLM concepts and technologies, and in utilising this knowledge in both day to day tasks and in more complex scenarios where this technology can enhance current practices and processes.
2412.04922_2207300_5	The best results are produced by the Mistral7-Base LLM after fine-tuning and DPO.
2412.05563_2207941_1	However, integration of LLMs raises valid questions on their reliability and trustworthiness, given their propensity to generate hallucinations: plausible, factually-incorrect responses, which are expressed with striking confidence.
2412.06564_2208942_2	A systematic mapping study was conducted, analyzing 21 relevant studies to explore reported uses of LLMs for qualitative analysis.
2412.06603_2208981_4	Our case study characterizes the impact of an LLM-powered assistant on developers' perceptions of productivity and it shows that although such tools do often provide net productivity increases, these benefits may not always be experienced by all users.
2412.07355_2209733_3	The few preliminary studies investigating the possible combination of LLM with BCI spellers to efficiently support fast communication and control are then described.
2412.08054_2210432_7	In our design, knowledge compendiums generated by a novel LLM-enhanced Knowledge Compendiums Generation (KCG) module are transmitted between clients and the server instead of model parameters in previous FL methods.
2412.08599_2210977_1	The aim of the experiments is to gain empirically and statistically based insights into the lexicographical text type,dictionary article, in the responses of ChatGPT 3.5, as well as into the lexicographical data on which this chatbot was trained.
2412.09237_2211615_8	Furthermore, compared with the existing LLMs-based multi-agent system, more different and valuable phenomena are exhibited, such as herd behavior, which demonstrates the potential of LMAgent in credible large-scale social behavior simulations.
2412.09416_2211794_2	To bridge this gap, we propose a unified evaluation taxonomy with eight pedagogical dimensions based on key learning sciences principles, which is designed to assess the pedagogical value of LLM-powered AI tutor responses grounded in student mistakes or confusions in the mathematical domain.
2412.10139_2212517_0	  The capacity of LLMs to carry out automated qualitative analysis has been questioned by corpus linguists, and it has been argued that corpus-based discourse analysis incorporating LLMs is hindered by issues of unsatisfying performance, hallucination, and irreproducibility.
2412.10198_2212576_1	However, this integration also introduces new security vulnerabilities, particularly in the tool scheduling mechanisms of LLM, which have not been extensively studied.
2412.10400_2212778_7	Project page of this work can be found at https://github.com/ShuheWang1998/Reinforcement-Learning-Enhanced-LLMs-A-Survey.
2412.10535_2212913_7	Further research is needed to evaluate these interactions across larger models and varied architectures, offering a pathway to more reliable and generalizable LLMs.
2412.10849_2213227_10	New robust benchmarks and scalable evaluation of LLM capabilities compared to human physicians are needed along with trials evaluating AI in real clinical settings.
2412.11053_2213431_4	The dynamic nature of autoregressive token generation in LLMs is therefore not supported out of the box.
2412.11328_2213706_7	Our evaluation, which encompasses over 3,000 GUI annotations from over 100 crowd-workers with UI/UX experience, shows that SCGG, in contrast to PDGG and RAGG, can lead to more effective GUI generation, and provides valuable insights into the defects that are produced by the LLMs in the generated GUI prototypes.
2412.11908_2214286_4	Our variations preserve the mathematical core and are designed to measure the generalisability of LLM problem-solving abilities, while also increasing confidence that problems are submitted to LLMs in forms that have not been seen as training instances.
2412.13233_2215611_2	To overcome this limitation and achieve integration of LLMs and Artificial Intelligence (AI) into real-world applications, customized AI agents are being constructed.
2412.13666_2216044_3	However, a combination of personalization and disinformation abilities of LLMs has not been comprehensively studied yet.
2412.13705_2216083_2	A gradient-based defensive suffix generation algorithm is designed to bolster the robustness of LLMs.
2412.13765_2216143_5	Extensive experiments were conducted to evaluate various LLM models, demonstrating the effectiveness of LLM-SEM in providing a scalable and accurate measure of student engagement.
2412.13845_2216223_10	Our paper's GitHub repository can be found at https://github.com/Darcyddx/Video-LLM.
2412.14471_2216849_8	In contrast, training on Japanese text could improve question-answering tasks about Japanese knowledge and English-Japanese translation, which indicates that abilities for solving these two tasks can be regarded as \textit{Japanese abilities} for LLMs.
2412.14501_2216879_0	  The philosophy of language, which has historically been developed through an anthropocentric lens, is now being forced to move towards post-anthropocentrism due to the advent of large language models (LLMs) like ChatGPT (OpenAI), Claude (Anthropic), which are considered to possess linguistic abilities comparable to those of humans.
2412.15574_2217952_8	Further advances in deep-sea species-specific LLMs are therefore required.
2412.15584_2217962_2	Users may over-rely on LLM advice that is confidently stated but wrong, or under-rely due to mistrust.
2412.15584_2217962_3	Reliance interventions have been developed to help users of LLMs, but they lack rigorous evaluation for appropriate reliance.
2412.15594_2217972_0	  Solving tabular math word problems (TMWPs) has become a critical role in evaluating the mathematical reasoning ability of large language models (LLMs), where large-scale TMWP samples are commonly required for LLM fine-tuning.
2412.16158_2218536_8	It is first trained to distill visual features from a pre-trained vision encoder and text embeddings from the LLM, enabling large-scale training with unpaired random images and text tokens.
2412.16216_2218594_0	  Low-Rank Adaptation (LoRA) is a parameter-efficient fine-tuning method that has been widely adopted in various downstream applications of LLMs.
2412.16216_2218594_3	Lack of communication and collaboration among experts exacerbate the instability of LLMs due to the imbalance load problem of MoE. To address this issue, we propose a novel MoE graph-based LLM fine-tuning framework GraphLoRA, in which a graph router function is designed to capture the collaboration signals among experts by graph neural networks (GNNs).
2412.16783_2219161_2	Given that the latest generations of LLMs have digested and encoded extensive knowledge about different human subpopulations and individuals, the hope is that these models can be trained, tuned or prompted to align with a wide range of different human perspectives.
2412.16814_2219192_4	LLMs, such as ChatGPT, are a new class of AI models that have been trained on large amounts of text, and can create new content, including text, images, or video.
2412.17019_2219397_1	While this mechanism has been extensively studied in explainability research, particularly through the attention values obtained during the forward pass of LMs, the backward pass of attention has been largely overlooked.
2412.17156_2219534_6	Theoretical challenges -- such as the inherent narcissism of LLMs, the risk of overfitting to LLM-based metrics, and the potential degradation of future LLM performance -- must be addressed before LLM-based relevance assessments can be considered a viable replacement for human judgments.
2412.17200_2219578_7	Next, a series of experiments were designed and conducted on 40 students' UML modeling reports to explore the performance of ChatGPT in evaluating and grading these UML diagrams.
2412.17686_2220064_5	This survey is intended to serve as a foundational resource for academy researchers, industry practitioners, and policymakers, offering insights into the challenges and opportunities associated with the safe integration of LLMs into society.
2412.18544_2220922_5	We then build a standard, proper-scoring-rule forecasting benchmark, and show that our (instantaneous) consistency metrics correlate with LLM forecasters' ground truth Brier scores (which are only known in the future).
2412.18617_2220995_2	In this paper, we present a custom GPT (IBL Educator GPT) that is designed and developed based on Inquiry-based Learning and offers physics teachers a framework in which they can interact with ChatGPT and design educational strategies.
2412.18719_2221097_3	An experiment was conducted using GPT-4 to determine if machine learning methods based on LLMs can match or exceed the reliability of instructor grading in evaluating short writing assignments on topics in astronomy.
2412.18835_2221213_3	Fine-tuning open-source LLMs like the Llama series is often preferred by enterprises over using commercial ones like the GPT series due to considerations including privacy, security, openness, performance, etc.
2412.19726_2222104_2	We expect that humans will engage in a consistent reasoning process across various questions about a situation, but this is known to not be the case for current LLMs.
2412.20087_2222465_4	Scores were determined by averaging the values assessed by three distinct LLMs.
2412.21016_2223394_4	However, to the best of our knowledge, no automated robustness testing methods have been specifically designed to evaluate the overall inputs of LLM-based NLP software.
2412.21102_2223480_0	  Controlling diversity in LLM-agent world simulations is essential for maintaining stability in structured tasks while enabling variation where creativity is needed.
2501.01426_2225010_1	However, VideoLLMs currently rely on a single vision encoder for all of their visual processing, which limits the amount and type of visual information that can be conveyed to the LLM.
2501.02178_2225762_6	This can also be presented as a study that shows the potential of LLMs for changing user experiences and making innovation possible in industries.
2501.02266_2225850_5	Also, the correlation between LLMs and humans at model accuracy and exam pass rate levels is examined.
2501.02346_2225930_2	An attempt to assess GPT-4's performance in radiation oncology was made via a dedicated 100-question examination on the highly specialized topic of radiation oncology physics, revealing GPT-4's superiority over other LLMs.
2501.02406_2225990_3	We answer the following question: Given a piece of text, can we identify whether it was produced by LLM $A$ or $B$ (where $B$ can be a human)?
2501.02531_2226115_4	Seven LLMs, including GPT-4 and Bard, were analyzed and compared against sentiment data from three independent human sample populations.
2501.03838_2227422_7	To evaluate the feasibility of LM-Net, extensive experiments have been conducted on three publicly available datasets with different modalities.
2501.03904_2227488_4	A comparative analysis of different ChatGPT models was conducted to assess their ability to understand transportation information, retrieve relevant data, and provide comprehensive responses.
2501.04277_2227861_6	These findings provide a baseline for the raw capabilities of LLMs on Q&A tasks applied to materials science, and emphasize the substantial improvement that could be brought to open-source models via prompt engineering and fine-tuning strategies.
